city,year,people,air_general_level,net_salary,avg_age,ilm,birth,crimes,criminals,death,pens,preschool_child,length_of_roads,energy_consumption,migration_net,housing_stock,wage,workers,poverty_level,housing_price
Архангельск,2022,344717.0,2.0,58444.0,41.27,13873.0,8.1,6818.0,2723.0,11.3,113.7,19.8,390.5,201.5,-931.0,29.25,54598.8,84.8,10.0,91024.75
Астрахань,2015,532699.0,1.0,26581.0,38.32,8932.0,14.5,7382.0,4501.0,11.8,134.5,26.9,475.4,200.5,-2447.0,24.3,30908.3,134.2,14.8,39845.39
Астрахань,2016,531719.0,1.0,28323.0,38.4,9268.0,14.5,6961.0,4025.0,11.8,135.5,26.9,494.2,193.7,-686.0,25.1,32934.2,128.3,14.8,36593.82
Астрахань,2017,532504.0,2.0,30254.0,38.52,9741.0,12.4,6744.0,3480.0,11.0,136.2,27.4,458.3,218.0,679.0,25.6,35179.0,124.3,14.8,37439.77
Астрахань,2018,533925.0,3.0,33641.0,38.71,9827.0,11.9,6744.0,3480.0,11.4,137.1,27.5,435.3,182.0,51.0,26.5,39118.0,121.5,14.8,43293.58
Астрахань,2019,534241.0,3.0,34335.0,38.91,10745.0,11.0,6744.0,3480.0,11.0,135.8,27.7,507.0,245.8,-4403.0,27.0,39924.8,115.9,15.1,40894.34
Астрахань,2020,529793.0,3.0,37423.0,39.23,10776.0,11.0,6744.0,3480.0,11.0,135.8,27.7,448.7,224.0,-3796.0,27.82,39924.8,115.9,15.2,43293.58
Астрахань,2021,524371.0,4.0,40073.0,39.42,10776.0,11.0,6744.0,3480.0,11.0,135.8,27.7,510.8,187.9,-2401.0,27.6,39924.8,115.9,15.0,55186.74
Астрахань,2022,518695.0,3.0,42910.0,39.51,10776.0,11.0,6744.0,3480.0,11.0,135.8,27.7,472.7,208.9,-4156.0,28.13,39924.8,115.9,12.5,79709.07
Ачинск,2015,106630.0,3.0,26136.0,38.0,10776.0,14.1,2518.0,1139.0,14.5,37.4,6.3,363.2,187.3,-623.0,23.6,30391.1,29.6,17.1,55976.87
Ачинск,2016,106329.0,3.0,28138.0,38.09,10776.0,14.3,2238.0,1146.0,13.9,43.6,6.4,438.3,166.6,-152.0,23.9,32718.6,28.1,17.1,47446.81
Ачинск,2017,105850.0,3.0,29824.0,38.18,10776.0,11.5,2435.0,1209.0,14.1,43.4,6.4,299.3,199.9,269.0,24.1,34678.7,28.0,17.1,48314.97
Ачинск,2018,105259.0,3.0,32838.0,38.33,10776.0,10.8,2435.0,1209.0,14.1,43.8,6.4,184.5,162.3,174.0,24.4,38184.1,27.9,17.1,54843.78
Ачинск,2019,104278.0,3.0,36374.0,38.51,10776.0,9.9,2435.0,1209.0,13.5,43.1,6.5,312.8,179.4,809.0,24.8,42295.4,27.4,17.3,49226.7
